,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
1968-08-31,0.047245999999999996,0.031128,0.040251999999999996,0.019294,0.011152,0.016937999999999998
1968-09-30,0.066746,0.069949,0.080227,0.064952,0.032461000000000004,0.034072
1968-10-31,0.008317999999999999,0.011777,-0.000264,0.032139,0.016623000000000002,-0.016148
1968-11-30,0.071863,0.077054,0.082768,0.027986,0.061456,0.067375
1968-12-31,0.006521,-0.007482,-0.007258,-0.024265,-0.0412,-0.049079
1969-01-31,-0.009340000000000001,-0.0027010000000000003,-0.021408,-0.010423,0.0032740000000000004,-0.024146
1969-02-28,-0.089637,-0.075936,-0.101659,-0.044031,-0.045971000000000005,-0.047057
1969-03-31,0.02099,0.034471,0.031516,0.033488000000000004,0.036202,0.031758
1969-04-30,0.012894000000000001,0.025508000000000003,-0.0028299999999999996,0.006834,0.026814,0.025666
1969-05-31,0.004935999999999999,0.005410000000000001,-0.005613,-0.000138,0.013894,-0.010613
1969-06-30,-0.117799,-0.10887000000000001,-0.12362999999999999,-0.073888,-0.063049,-0.035525
1969-07-31,-0.081038,-0.08997,-0.113724,-0.05679,-0.060496,-0.060842
1969-08-31,0.040346,0.041784,0.08003,0.029822,0.052095,0.069688
1969-09-30,-0.015049,-0.008004,-0.018509,-0.029155,-0.029435,-0.013222000000000001
1969-10-31,0.077728,0.080301,0.110082,0.047478,0.053169,0.056685
1969-11-30,-0.048822000000000004,-0.052051999999999994,-0.060597000000000005,-0.025375,-0.038294999999999996,-0.017851
1969-12-31,-0.065323,-0.043269,-0.051745,-0.033478,-0.007090999999999999,-0.008624
1970-01-31,-0.030465,-0.029047999999999997,-0.074439,-0.05711,-0.08189199999999999,-0.092324
1970-02-28,0.049531,0.031718,0.032108,0.08037100000000001,0.061647,0.040371
1970-03-31,-0.000182,-0.017669999999999998,-0.049808000000000005,0.020358,-0.002968,-0.018501
1970-04-30,-0.132748,-0.137492,-0.205458,-0.085001,-0.084118,-0.13026300000000002
1970-05-31,-0.078842,-0.09578900000000001,-0.125649,-0.049456,-0.05219699999999999,-0.078466
1970-06-30,-0.056596,-0.067299,-0.08899800000000001,-0.050858,-0.038208,-0.072665
1970-07-31,0.069106,0.066339,0.070744,0.09672900000000001,0.069207,0.060672
1970-08-31,0.06415799999999999,0.066207,0.065397,0.058730000000000004,0.04165,0.060243000000000005
1970-09-30,0.098143,0.09986,0.165841,0.021115,0.034001,0.072975
1970-10-31,-0.046443000000000005,-0.052637,-0.07403,-0.009205,-0.008937,-0.026563
1970-11-30,0.020718999999999998,0.029722,0.00294,0.060443,0.053824,0.050406000000000006
1970-12-31,0.08835000000000001,0.09142099999999999,0.084178,0.054038,0.064428,0.052262
1971-01-31,0.142,0.107493,0.11172599999999999,0.033439,0.040269000000000006,0.064826
1971-02-28,0.027735,0.031125,0.044726,0.019502,0.011789,0.018523
1971-03-31,0.051029,0.060065,0.074126,0.03153,0.039228,0.061364999999999996
1971-04-30,0.038103,0.043383000000000005,0.021931,0.043781,0.028386,0.042941
1971-05-31,-0.040728999999999994,-0.049762,-0.054886,-0.037423000000000005,-0.038784,-0.027246000000000003
1971-06-30,-0.027288999999999997,0.002567,-0.010107999999999999,-0.0054,0.005554,0.010894
1971-07-31,-0.053057999999999994,-0.040834,-0.067914,-0.040552000000000005,-0.032243,-0.053419999999999995
1971-08-31,0.054516999999999996,0.042968,0.039797,0.08047900000000001,0.03282,0.043372
1971-09-30,-0.01873,-0.005488,0.008669,-0.007345000000000001,-0.004586,-0.003096
1971-10-31,-0.061571,-0.052393999999999996,-0.051504,-0.052432,-0.036387,-0.034756
1971-11-30,-0.029624,-0.027012,-0.03184,-0.0046429999999999996,0.001446,0.006431
1971-12-31,0.123386,0.106235,0.129473,0.07094299999999999,0.087142,0.098428
1972-01-31,0.099205,0.073923,0.082155,0.03004,0.010092,0.036386
1972-02-29,0.040642,0.026616,0.035255999999999996,0.021411,0.03069,0.036766
1972-03-31,-0.001902,0.00020899999999999998,0.010438000000000001,0.020219,0.0044919999999999995,0.011921999999999999
1972-04-30,0.010357,0.0062380000000000005,0.008270999999999999,-0.013197,0.007352,0.010094
1972-05-31,-0.016846,-0.019957,-0.017938,-0.00971,0.020392999999999998,0.030727
1972-06-30,-0.024676,-0.03258,-0.035238,-0.031246999999999997,-0.020992999999999998,-0.013664
1972-07-31,-0.0358,-0.026482000000000002,-0.041862,-0.020798,0.002894,-0.000603
1972-08-31,0.01955,0.018671,-0.0009329999999999999,0.063513,0.040256999999999994,0.026086
1972-09-30,-0.037795,-0.025022000000000003,-0.02863,-0.034763,-0.000315,-0.0045910000000000005
1972-10-31,-0.013533,-0.0017180000000000001,-0.027271999999999998,0.001116,0.010529,0.01425
1972-11-30,0.060639000000000005,0.060729,0.03891,0.081772,0.049656000000000006,0.036722000000000005
1972-12-31,-0.017245999999999997,-0.010257,-0.01506,-0.023717000000000002,0.017463,0.01692
1973-01-31,-0.044942,-0.051048,-0.064478,-0.041749999999999995,-0.008596,-0.040309
1973-02-28,-0.078887,-0.069754,-0.097441,-0.053686,-0.037333,-0.036056
1973-03-31,-0.012678,-0.033928,-0.02915,-0.015053,0.000737,-0.008656
1973-04-30,-0.061162,-0.050568999999999996,-0.09332900000000001,-0.040003000000000004,-0.03657,-0.058221999999999996
1973-05-31,-0.088141,-0.074989,-0.08575100000000001,-0.042224000000000005,-0.013983,-0.010601000000000001
1973-06-30,-0.027522,-0.027627000000000002,-0.051017,-0.030221,-0.0036149999999999997,-0.008435
1973-07-31,0.101166,0.106675,0.152803,0.06243699999999999,0.032395,0.075325
1973-08-31,-0.042977,-0.042293000000000004,-0.044131000000000004,-0.012129000000000001,-0.032494,-0.035858
1973-09-30,0.097968,0.08924,0.107249,0.08656000000000001,0.042753,0.042598000000000004
1973-10-31,0.012419,0.002832,-0.019265,0.017643,-0.003954,-0.005198
1973-11-30,-0.179448,-0.175553,-0.208125,-0.132083,-0.10347899999999999,-0.136534
1973-12-31,-0.015127,-0.026081,-0.018996,0.046569,0.015303,0.001727
1974-01-31,0.145475,0.10207700000000001,0.077629,0.009318,-0.005286,-0.012650999999999999
1974-02-28,0.017914,0.011214,-0.005428,0.025560999999999997,-0.0043,-0.0044740000000000005
1974-03-31,-0.001666,0.0028799999999999997,-0.0054069999999999995,-0.020389,-0.023496000000000003,-0.02537
1974-04-30,-0.035761,-0.051114,-0.063448,-0.028142999999999998,-0.046071,-0.043246
1974-05-31,-0.068071,-0.068614,-0.081589,-0.043819,-0.034078,-0.023662000000000002
1974-06-30,-0.010698000000000001,-0.013248,-0.037526000000000004,-0.011196,-0.012556000000000001,-0.044061
1974-07-31,-0.036259,-0.037799,-0.061596000000000005,-0.035911,-0.07524600000000001,-0.10058600000000001
1974-08-31,-0.06178,-0.080894,-0.09576499999999999,-0.084527,-0.081746,-0.10236700000000001
1974-09-30,-0.066524,-0.07226,-0.11507899999999999,-0.078025,-0.106862,-0.14595
1974-10-31,0.09066800000000001,0.093781,0.10964800000000001,0.18331399999999998,0.155302,0.222576
1974-11-30,-0.031996000000000004,-0.04303,-0.063474,-0.015295000000000001,-0.042950999999999996,-0.041826999999999996
1974-12-31,-0.056998,-0.053013000000000005,-0.085471,-0.012056,-0.013664,-0.051251
1975-01-31,0.269154,0.259071,0.287009,0.134974,0.126677,0.138211
1975-02-28,0.044246999999999995,0.039755,0.047306999999999995,0.031974999999999996,0.065718,0.071168
1975-03-31,0.060988,0.067922,0.093823,0.051429,0.01539,0.045473999999999994
1975-04-30,0.039617,0.039859,0.045727000000000004,0.048944999999999995,0.038407,0.070317
1975-05-31,0.067748,0.077066,0.09014799999999999,0.054844,0.059179,0.043625
1975-06-30,0.071803,0.07494100000000001,0.065588,0.060152000000000004,0.051236,0.044868
1975-07-31,-0.023576,-0.022546,-0.030962,-0.04678,-0.071587,-0.06415799999999999
1975-08-31,-0.054208,-0.042945000000000004,-0.051347,-0.037602000000000003,-0.016223,-0.020731000000000003
1975-09-30,-0.034876,-0.040448000000000005,-0.035889000000000004,-0.036771,-0.028141,-0.047060000000000005
1975-10-31,0.029473,0.023269,0.021241,0.08289400000000001,0.07538700000000001,0.045599
1975-11-30,0.026435,0.028443,0.020337,0.042102,0.043919,0.013391
1975-12-31,-0.006332,-0.0015249999999999999,-0.020689000000000003,-0.009066,-0.013087,-0.010079
1976-01-31,0.208796,0.18617999999999998,0.188861,0.14172,0.12039899999999999,0.114982
1976-02-29,0.10159499999999999,0.08114,0.07849300000000001,0.034342000000000004,-0.001215,-0.016509
1976-03-31,0.024662000000000003,0.015858,0.007644,0.033127,0.027250999999999997,0.030444
1976-04-30,-0.014234,-0.009433,-0.010538,-0.020072999999999997,-0.016055,-0.002782
1976-05-31,-0.027768,-0.01944,-0.017455000000000002,-0.014093,-0.017387,0.003481
1976-06-30,0.039512,0.038,0.040538,0.061098,0.048204000000000004,0.039638
1976-07-31,0.001016,0.009527,-0.004358,-0.008282000000000001,-0.003802,-0.009004
1976-08-31,-0.024346999999999997,-0.011356999999999999,-0.026195,-0.018071,0.009415,-0.004908
1976-09-30,0.017356,0.031393,0.033462,0.023695,0.021519,0.030304
1976-10-31,-0.021899000000000002,-0.018975,-0.021587000000000002,-0.029015,-0.0173,-0.021828
1976-11-30,0.029742,0.03676,0.038471000000000005,0.006346000000000001,0.012199,-0.003848
1976-12-31,0.107522,0.09567,0.089045,0.077195,0.059642,0.047564999999999996
1977-01-31,0.028725,0.019375,0.017722,-0.029895,-0.03517,-0.057438
1977-02-28,-0.010517,0.0005059999999999999,-0.012199,-0.023499,-0.015489,-0.018099
1977-03-31,0.000912,0.007832,0.003646,-0.00955,-0.014235,-0.010088999999999999
1977-04-30,0.020912,0.014164000000000001,0.013929,0.008672,0.008947,-0.005087
1977-05-31,0.0013089999999999998,0.000835,0.000472,-0.013752,-0.008324,-0.017283
1977-06-30,0.071066,0.055564999999999996,0.07773,0.040236,0.042464,0.058951
1977-07-31,0.00121,0.0011740000000000001,0.002894,-0.013515999999999999,-0.013576999999999999,-0.017643
1977-08-31,-0.017771,-0.005471,0.001921,-0.0028020000000000002,-0.019473,-0.009177999999999999
1977-09-30,0.010327999999999999,0.016318,0.013653,-0.01385,0.0045390000000000005,-0.004193
1977-10-31,-0.033473,-0.012931,-0.029954,-0.043913,-0.042602,-0.038155999999999995
1977-11-30,0.08299799999999999,0.07719000000000001,0.077246,0.051586,0.036696,0.043646000000000004
1977-12-31,0.019718,0.013266,0.026313,-0.0025180000000000003,0.00683,0.004065
1978-01-31,-0.015896999999999998,-0.029446,-0.039354,-0.054786,-0.057957999999999996,-0.06247899999999999
1978-02-28,0.030073,0.018471,0.019436,-0.014541,-0.007611,-0.024932
