,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
1964-10-31,0.015918,0.022059000000000002,0.037641,0.017542,0.030298,0.014922,0.011139,0.022473,0.018463,-0.00226,0.023707,0.021498,0.015125,0.007787,0.039039000000000004,0.023031000000000003,0.020766,0.015756,0.004622,0.009499,0.0052380000000000005,0.015341,0.010724000000000001,-0.016963,-0.012495000000000001
1964-11-30,0.008383,-0.002717,0.01421,0.010391,-0.012154,-0.010355000000000001,0.0028079999999999997,-0.000378,-0.009127999999999999,-0.016547,0.017782,-0.002313,0.008759,0.002387,-0.005158,0.010132,0.00135,-0.0024,-0.012099,-0.004469,0.004908,0.002203,0.017392,-0.011047,-0.048883
1964-12-31,-0.021709,-0.010257,-0.009594,-0.02484,-0.026362,0.001656,-0.006545,-0.011636,0.0038069999999999996,-0.005481000000000001,0.007993,-0.014159999999999999,-0.006542,-0.012524,-0.00121,-0.006952000000000001,-0.007633999999999999,0.00213,0.002107,-0.00025100000000000003,0.017386,0.002634,0.001196,-0.0027189999999999996,-0.009735
1965-01-31,0.064894,0.045992,0.06625,0.085619,0.087419,0.054231,0.0342,0.057457,0.07606399999999999,0.073184,0.052457000000000004,0.051472,0.057481,0.06298,0.06201399999999999,0.036197,0.052673,0.058574,0.050024,0.064353,0.008324,0.035996,0.043554,0.06475399999999999,0.056046
1965-02-28,0.02889,0.021564,0.039807999999999996,0.023153,0.021712,0.04543,0.014669000000000001,0.066663,0.04047100000000001,0.035543,0.033549999999999996,0.006185,0.032396,0.038195,0.055401,0.02638,0.015992,0.02276,0.048979,0.032789,-0.009708,-0.009854,0.006895,0.023943,0.044619
1965-03-31,0.024565,0.037334,0.011507,0.02766,0.028201999999999998,0.015087,0.009998,0.008561,0.014391000000000001,-0.010825,0.010746,0.023003999999999997,-0.007924,0.010742,-0.004849,-0.0022819999999999997,-0.002783,-0.007942,0.000977,0.005412,-0.015844,-0.005468,-0.024317000000000002,-0.010032000000000001,-0.00536
1965-04-30,0.04237,0.060281,0.047372,0.045732999999999996,0.055843,0.043947,0.025592,0.052892,0.046792,0.043535000000000004,0.033180999999999995,0.025304000000000004,0.046253999999999997,0.023184999999999997,0.06782,0.031294,0.034397000000000004,0.027446,0.041722,0.053311000000000004,0.016252,0.039116,0.039387,0.043581,0.042843
1965-05-31,-0.009035999999999999,-0.005321,-0.004415,-0.014124000000000001,-0.014368,-0.029408,0.008683,-0.002934,-0.012142,-0.002408,-0.012936000000000001,-0.011520999999999998,0.00068,-0.007037,0.00068,-0.002555,-0.014891000000000001,-0.011795,-0.006633,-0.000508,0.0103,-0.01659,0.004341,-0.007488,-0.02349
1965-06-30,-0.092673,-0.061058,-0.102646,-0.095169,-0.11829,-0.072776,-0.058981000000000006,-0.081952,-0.09428800000000001,-0.105646,-0.052022000000000006,-0.07492499999999999,-0.078488,-0.10041499999999999,-0.09986800000000001,-0.06386599999999999,-0.064301,-0.067881,-0.08769600000000001,-0.110301,-0.033458999999999996,-0.039155,-0.046917999999999994,-0.050697,-0.08413500000000002
1965-07-31,0.029973,0.024685000000000002,0.042103,0.02798,0.031616,0.03196,0.033028,0.016665,0.027410999999999998,0.046218,0.045262000000000004,0.013885000000000002,0.045343,0.02619,0.049611,0.033513,0.025527,0.03327,0.046753,0.035004,0.016942,0.0056159999999999995,0.0016589999999999999,0.020518,0.091763
1965-08-31,0.013281000000000001,0.034207,0.029878000000000002,0.040930999999999995,0.063753,0.016546,0.053899999999999997,0.046868,0.03596,0.073458,0.04547,0.032730999999999996,0.06970900000000001,0.06600500000000001,0.08189500000000001,0.022182,0.037436,0.035657,0.052626,0.065697,0.01107,0.023569,0.036934,0.04388499999999999,0.08077899999999999
1965-09-30,0.017925,0.027791,0.019072,0.039351,0.031943,0.031379000000000004,0.024083999999999998,0.023167,0.035517,0.056477000000000006,0.013579,0.021057000000000003,0.041208,0.03499,0.055751999999999996,0.023049,0.026458,0.021254,0.032157,0.059908,0.04822,0.020836999999999998,0.018508,0.025815,0.056454000000000004
1965-10-31,0.050228,0.099017,0.061035000000000006,0.076267,0.091793,0.04186,0.043018,0.053419999999999995,0.08164500000000001,0.060843,0.018124,0.034254,0.068217,0.048587,0.07722699999999999,0.025987,0.032338,0.03681,0.05434,0.057239000000000005,0.025568,0.015177000000000001,0.020663,0.032807,0.07570700000000001
1965-11-30,0.029179,0.076328,0.072877,0.054516,0.066315,0.030923,0.049263,0.049061,0.064527,0.052056,0.074011,0.018451,0.014072,0.034344,0.057211,0.024239,0.008844999999999999,0.023163999999999997,0.051567999999999996,0.057585,-0.013250999999999999,-0.028559,0.008162,0.015623,0.074254
1965-12-31,0.043395,0.029973,0.085823,0.027816,0.04415,0.032132,0.034562,0.069407,0.080768,0.032572000000000004,-0.01125,0.024034,0.050747,0.028068,0.051788,0.009668,0.00893,0.004901,0.046029,0.045246,0.005582,0.008898,0.008581,0.002714,0.057907
1966-01-31,0.063955,0.068887,0.078549,0.08805400000000001,0.0928,0.059054,0.042645,0.048143000000000005,0.072715,0.066635,0.034969,0.018614,0.050398,0.036222,0.05079500000000001,0.019625,0.027789,0.030955,0.047664,0.036587999999999996,-0.0007009999999999999,-0.009695,-0.00297,0.011083,0.08094
1966-02-28,0.037298,0.01265,0.049429,0.056188,0.07312,0.027232,0.008931,0.033041999999999995,0.053274999999999996,0.02874,-0.012124999999999999,-0.006975,0.060136,0.032014,0.048681,-0.013504,-0.025405,-0.010564,0.028453,0.053944,-0.032850000000000004,-0.02177,-0.017195000000000002,0.00864,0.069935
1966-03-31,0.003676,0.002287,-0.013531,-0.004646,-0.007178,-0.025894,-0.027608999999999998,-0.001351,-0.005024,-0.023148,-0.018993,-0.020222000000000004,-0.036566,-0.040723,-0.026282999999999997,-0.019806,-0.016393,-0.029119000000000003,-0.016071,-0.011079,-0.024940000000000004,-0.022611,-0.032735,-0.006774,0.010405
1966-04-30,0.044551,0.052826000000000005,0.07080199999999999,0.047256,0.07446900000000001,0.051001000000000005,0.027315999999999997,0.036638000000000004,0.075156,0.07901799999999999,0.006891,0.033828,0.030661,0.036673,0.067135,0.005162,0.016465,0.032085,0.033500999999999996,0.061468999999999996,0.013176,0.01341,0.008267,0.054157000000000004,0.026639
1966-05-31,-0.086257,-0.089047,-0.121458,-0.10835900000000001,-0.142325,-0.080982,-0.07616200000000001,-0.110579,-0.09461499999999999,-0.121901,-0.044017,-0.035240999999999995,-0.086214,-0.092828,-0.123879,-0.052912,-0.050984999999999996,-0.060862999999999993,-0.07545600000000001,-0.09284200000000001,-0.046981,-0.033024,-0.036739,-0.042953,-0.111367
1966-06-30,-0.002589,0.002882,0.012124999999999999,-0.004462,0.005579,0.005928,-0.007324000000000001,-0.010022999999999999,0.004556,0.012763,-0.010950999999999999,-0.016963,0.00764,0.002557,0.020545,-0.013907000000000001,-0.007217,-0.001761,0.004812,0.031229,-0.021957,-0.014681999999999999,-0.02259,-0.0010040000000000001,0.016202
1966-07-31,-0.016356,-0.0083,-0.01476,-0.027181,-0.025291,-0.01183,-0.007272999999999999,-0.003507,-0.023304000000000002,-0.033877000000000004,-0.001226,-0.013991,0.0052380000000000005,-0.0063170000000000006,-0.020557,-0.002131,-0.022798,-0.007625,-0.017612000000000003,-0.024129,-0.007251,-0.007795,-0.001122,-0.032174999999999995,-0.016011
1966-08-31,-0.102895,-0.10006999999999999,-0.107196,-0.114285,-0.11888,-0.10344300000000001,-0.10158099999999999,-0.105199,-0.11001200000000001,-0.108399,-0.090405,-0.067922,-0.096401,-0.09617800000000001,-0.09379200000000001,-0.073625,-0.09974500000000001,-0.07136,-0.077324,-0.095151,-0.063392,-0.073268,-0.073871,-0.066761,-0.075727
1966-09-30,-0.023012,-0.018103,-0.016071,-0.012942,-0.021707999999999998,0.0007030000000000001,-0.018323,-0.026825,-0.012124999999999999,-0.019622999999999998,-0.002321,-0.0038529999999999997,0.0037099999999999998,-0.024714,-0.035413,0.015844,0.008895,-0.006018,-0.030377,-0.039812,0.018115000000000003,0.002426,-0.010283,-0.022663000000000003,-0.067312
