,SMALL LoBETA,ME1 BETA2,ME1 BETA3,ME1 BETA4,SMALL HiBETA,ME2 BETA1,ME2 BETA2,ME2 BETA3,ME2 BETA4,ME2 BETA5,ME3 BETA1,ME3 BETA2,ME3 BETA3,ME3 BETA4,ME3 BETA5,ME4 BETA1,ME4 BETA2,ME4 BETA3,ME4 BETA4,ME4 BETA5,BIG LoBETA,ME5 BETA2,ME5 BETA3,ME5 BETA4,BIG HiBETA
197907,16.1642,20.4231,17.619,18.4755,15.3086,82.7938,79.4062,80.69,79.0185,79.6054,177.6416,186.0742,173.6645,182.5767,175.7517,459.199,421.6824,433.3681,434.629,409.865,2470.8468,2316.3737,1723.2967,1844.1315,1269.5762
197908,16.7543,21.2032,17.9643,18.8146,15.5218,85.742,80.2295,83.0649,81.5662,81.9156,180.7289,192.0433,179.0691,189.9641,183.2376,460.4099,436.8389,443.6052,448.2493,423.3235,2503.55,2310.35,1737.5744,1882.9472,1309.4331
197909,17.5422,22.6011,19.4208,20.2838,17.0265,89.8759,84.4757,90.121,88.247,89.9527,190.247,203.6649,192.1416,203.4786,200.4158,477.4314,467.7463,475.4322,486.3331,466.7275,2601.5854,2418.5233,1844.4384,2016.5074,1417.4479
197910,17.5457,22.3775,19.4484,20.1183,16.806,88.9653,83.7671,88.4847,88.359,90.665,188.4486,202.8508,190.8586,204.3532,199.4372,471.4686,470.4104,472.4303,481.8682,464.833,2643.1602,2415.3778,1849.3926,1962.2349,1377.8552
197911,16.0786,20.0397,17.0148,17.772,14.6081,80.1975,75.1967,79.5419,76.6987,80.9254,172.3571,184.7704,171.4585,184.1418,180.3357,432.2713,420.3678,434.2335,439.8304,422.873,2533.35,2218.6005,1710.6106,1825.3396,1230.2469
197912,16.7874,21.0063,18.3517,19.2018,15.9932,83.7511,80.5901,85.4043,81.6102,90.6816,184.9677,195.9213,184.9053,196.1027,197.9325,467.0943,447.9219,463.0082,474.0117,456.6948,2660.9357,2319.2813,1807.4599,1878.2477,1273.8692
198001,17.6678,22.5961,19.6635,22.1456,17.6093,86.6903,85.2438,92.0603,87.6529,99.7941,189.5115,207.3911,190.3582,208.9645,209.1166,476.3056,465.9389,485.317,495.237,488.497,2687.0641,2354.5906,1868.5531,1958.1713,1339.2971
198002,18.3909,24.1151,21.7953,24.4282,19.6383,91.0681,89.995,99.634,91.6468,107.2463,198.7912,219.7953,203.8246,218.2632,225.6083,490.7061,502.8171,517.3523,526.2186,524.5819,2868.2809,2483.3196,1940.121,2080.1624,1357.4731
198003,18.1022,23.5389,21.1047,24.4713,19.4027,85.7651,88.0207,96.883,88.0781,106.9557,192.4268,211.3144,200.0627,207.004,220.2576,473.2184,497.8615,501.0102,495.7738,516.9062,3015.9287,2418.9121,1844.7883,2000.3491,1334.8471
198004,15.492,19.5366,17.2475,18.6699,15.06,74.1655,73.9785,81.3719,71.9766,84.7793,166.2365,176.7978,162.1168,173.1604,185.5392,430.7121,418.7998,438.4749,432.1813,429.0489,2680.7503,2181.6529,1695.1809,1851.2915,1200.0012
198005,16.0631,20.6368,18.6315,20.3064,16.0999,80.0127,75.861,85.2328,75.2542,90.2181,185.4981,186.3123,174.527,183.4052,193.4501,462.5269,443.4928,458.3733,452.838,459.5009,2851.3028,2246.9004,1742.2396,1891.8889,1245.4961
